UniversalMessageId,Message,Year,Month,Day,Editoria,Categoria,Produto,SocialNetwork,Sentimento,shares,comments,likes,alcance
WEB_98_sg_1E3BD65655451A2A4CAC1D7244FC4514,"Clique para exibir o slide.
A igualdade de gênero é fator essencial para criar uma cultura de direitos humanos, paz e cidadania no Brasil, uma vez que os estereótipos são na maioria das vezes nocivos e limitam as oportunidades de meninos e meninas de ser o que quiserem e de realizar seus sonhos.
A avaliação é de Joana Chagas, gerente de programas da ONU Mulheres, que participou de debate na segunda-feira (26) no Rio de Janeiro sobre o papel da educação na formação do cidadão e na consolidação da paz, promovido pelo Instituto Net Claro Embratel.
“A educação é o fator mais transformador do indivíduo e da sociedade. A educação sozinha não vai transformar uma sociedade, mas a transformação não pode ocorrer sem educação”, disse Joana, dirigindo-se a uma plateia de formandos do projeto Dupla Escola, curso técnico profissionalizante em telecomunicações integrado ao ensino médio.
“E por que a igualdade de gênero é importante para uma cultura de direitos humanos, paz e cidadania? Porque a gente sabe que os estereótipos de gênero, que são aqueles papéis que a sociedade, a cultura, atribuem a homens e mulheres, são na maioria das vezes nocivos e limitam as oportunidades de meninos e meninas serem e realizarem seus sonhos”, disse.
Criado em 2014 pelo Instituto Net Claro Embratel em parceria com a Secretaria Municipal do Rio de Janeiro, a Fundação Xuxa Meneghel e a empresa Intel, o programa Dupla Escola formou sua segunda turma de técnicos e técnicas em telecomunicações, tendo como alunos adolescentes de baixa renda, moradores do subúrbio da capital fluminense.
De acordo com Daniely Gomiero, vice-presidente de projetos do Instituto Net Claro Embratel, do total de 126 formandos do curso em 2017, 60% são meninas. “Estou há 17 anos na empresa e, em 2001, eu era responsável pelo recrutamento e seleção. Contratei muitos técnicos e em nenhum processo seletivo havia mulheres. A velocidade da transformação foi muito rápida”, declarou a executiva.
Na plateia, algumas técnicas em telecomunicações pediram o microfone para contar casos de discriminação de gênero no trabalho e na família por terem escolhido uma profissão tradicionalmente ligada ao universo masculino. De maneira geral, esse(a) profissional tem como principais funções instalar, operar e fazer a manutenção de sistemas de telecomunicações.
“Se vocês quiserem pegar uma escada e subir num poste, se quiserem consertar uma TV, porque em telecomunicações também tem eletrônica, vocês podem. Eu sofri discriminação, sofri preconceito e abuso de cliente, nem por isso eu desisti”, disse uma das participantes.
Joana, da ONU Mulheres, afirmou que os estereótipos de gênero também intensificam a violência, na medida em que a ideia de que o homem precisa ser “machão, violento, valente” e a mulher “frágil” reforça essa cultura e uma dinâmica de poder que faz a sociedade aceitar a violência.
“No momento em que a gente desconstrói, questiona esses papéis através da educação com a juventude, a gente cria relações mais respeitosas, respeitando a pessoa por quem ela é, respeita o ‘sim’, o ‘não’, as escolhas, e a gente cria uma relação entre homens e mulheres, mulheres e mulheres e homens e homens que é muito mais pacífica”, disse.
Educação para a construção da paz
Também presente no evento, o chefe de educação do Fundo das Nações Unidas para a Infância (UNICEF) no Brasil, Ítalo Dutra, lembrou que a escola é a porta de entrada para a garantia do direito à educação, mas também da garantia de outros direitos de crianças e adolescentes.
“Não estar na escola muitas vezes significa não estar tendo seu direito garantido, o direito de aprender e se desenvolver; o direito à saúde; o direito à proteção; o direito à vida, inclusive”, declarou durante o debate “Diálogos Gigantes”.
Ele lembrou que metade dos estudantes brasileiros com idade entre 15 e 17 anos não está no ensino médio, enquanto 35% não chegam ao final dessa etapa. Mais de 65 milhões de brasileiros não concluíram a educação básica, salientou.
“Nosso esforço é olhar para cada um deles e estabelecer as ações para garantir que estejam na escola aprendendo com qualidade”, disse. “Ainda são poucos os adolescentes que tem essa oportunidade”.
Caroline Dantas Silva, formanda do programa Dupla Escola, disse que a educação abre possibilidades de ascensão. “Se não estudar, não vai ser ninguém”, disse. “O que é não ser ninguém? É ter negado seu direito de ser você, o direito à vida”.
“Quando a gente incentiva um jovem e mostra para ele que ele tem o poder de ascender de uma forma justa, digna, onde lá na frente ele seja reconhecido por isso, ele não vai procurar outra forma de ascender”, declarou, mencionando que todos os dias vê jovens em seu bairro entrando no mundo do crime.
Moderadora do debate, Ilona Szabó, especialista em segurança pública e diretora-executiva do Instituto Igarapé, citou dados sobre a relação entre escolaridade e criminalidade. No sistema prisional brasileiro — o terceiro maior do mundo —, 75% dos detentos não acessaram o ensino médio. Desses, 55% são jovens, têm entre 15 e 29 anos. Dos cerca de 60 mil brasileiros assassinados todos anos, mais da metade deles tem essa idade.
“É preciso a gente assumir a gravidade de tal quadro, mas também saber que é possível solucioná-lo”, declarou. “Eu vi ao longo da minha trajetória que a única maneira de a gente parar de fato de alimentar o ciclo da violência é investindo em educação”.
Ações das Nações Unidas no Brasil
A ONU Brasil tem uma série de projetos que abordam a questão da igualdade de gênero nas escolas, entre eles, “O Valente não é Violento”, currículo interdisciplinar disponível na Internet (clique aqui) que tem como objetivo abordar questões de sexualidade e de gênero para combater e prevenir a violência contra mulheres e meninas.
O currículo faz parte de iniciativa de mesmo nome que integra a campanha UNA-SE Pelo Fim da Violência Contra as Mulheres, do secretário-geral das Nações Unidas. A ação é coordenada pela ONU Mulheres, tem o envolvimento de todas as agências da ONU e é financiada pela União Europeia.
Já a Busca Ativa Escolar é uma plataforma gratuita para ajudar os municípios a combater a exclusão escolar. Foi desenvolvida pelo UNICEF em parceria com a União Nacional dos Dirigentes Municipais de Educação (UNDIME), o Colegiado Nacional de Gestores Municipais de Assistência Social (CONGEMAS) e o Instituto TIM.
A intenção é apoiar os governos na identificação, registro, controle e acompanhamento de crianças e adolescentes que estão fora da escola ou em risco de evasão escolar. Por meio da Busca Ativa Escolar, municípios e estados terão dados concretos que possibilitarão planejar, desenvolver e implementar políticas públicas que contribuam para a inclusão escolar.",2018,2018-02-01,2018-02-28,A,Produtos e Serviços,Institucional,Web,Negativo,95,299,1662,25626
FACEBOOK_38_m_wNd6I-mwnjkVpKG4SqCDGaS1hP9t2UzFq8u__qkBsRjZJ6nKdwNOQERZ91QTH2m5bRFsouk7eUdvVlowuEnhPQ,"Boa tarde, comprei um chip tim hoje as 2 horas da tarde e até agr nada de número para ativação",2019,2019-02-01,2019-02-26,A,Produtos e Serviços,Chip,Facebook,Positivo,83,275,1758,23012
TWITTER_7_1166870258700959744,@Luaankkk essa internet é da tim,2019,2019-08-01,2019-08-29,A,Redes,Internet,Twitter,Neutro,69,266,1806,22732
FACEBOOK_38_m_mid.$cAAArT3C6Tshn8HRt0lhvy8slJTpj,"olá queridos? tudo bom? porque por aqui não! não recebi minha conta que venceu dia 15/02, não consigo entrar no live tim e muito estranhamente, NENHUM canal do Sac (10341) me atende! Por acaso mandaram todos embora? só sei que em breve estarei sem internet e não tive o MINIMO de atenção da empresa por nenhum meio! desculpa o desabafo, mas se puder encaminhar essa mensagem pro setor responsavel com a garantia que serei respondida eu agradeceria muito porque tá muito dificil de continuar a ser uma cliente Tim. Obrigada.",2018,2018-02-01,2018-02-22,A,Atendimento e Relacionamento,Internet,Facebook,Negativo,79,293,1298,16262
WEB_100_sg_EABCC7D1292C81C7D5E631FBAFD14480,"No dia 05/06/2019 recebi uma ligação via WhatsApp da operadora de telecomunicações TIM, na quale ofereceram um plano de internet e ligações e fui claro em falar que não queria o mesmo pois já tinha, alias, ainda tenho o plano de uma outra operadora que supre minhas necessidades, de repente no mês seguinte comecei a receber SMS e ligações da própria operadora TIM me fazendo cobranças desse dito plano que não solicitei, imediatamente liguei para a empresa o solicitei o cancelamento, no mês seguinte veio outra cobrança falando que eu estava com duas faturas em atraso liguei novamente e solicitei o cancelamento, a atendente da operadora informou que iam me ligar para fazer a confirmação do cancelamento e deixei meu número de contato, um número da qual não desgrudo nem momento e nunca ligaram, já fiz reclamação na ANATEL recebi o número de protocolo e foi outra que não resolveu nada, porque hoje, agora mesmo dia 28/08/2019 as 20:25 horas a empresa TIM me ligou novamente informando que tenho 4 faturas em aberto e que devia fazer o pagamento amanhã. Detalhe, eu não o chip muito menos o plano, o chip apenas está em meu celular ativado mais não tem nenhuma serventia.",2019,2019-08-01,2019-08-28,A,Produtos e Serviços,Fatura,Web,Negativo,93,180,1481,26858
FACEBOOK_97_1814890568600753_1862202160536260,"Os vendedores da Tim são péssimos, ma vontade de atender , mal educados a loja de Juiz de Fora p atendimento é péssimo !",2018,2018-08-01,2018-08-30,A,Produtos e Serviços,Sinal,Facebook,Negativo,66,169,1905,25578
WEB_100_sg_123B36BECF189A13AFCBF1D4CEC94CF8,"Desde o dia 22/11 a Live TIM está com sinal oscilando no período da noite.No atendimento telefônico tem uma mensagem automática dizendo que o prazo de retorno é de 8 horas... Mas após 5 dias nada mudou, fiz reclamação no atendimento digital via whatsapp  e via telefone ( O atendente disse que já haviam mais de 300 quedas no dia, isso que a conexão é de fibra ótica cuja a propaganda diz que nunca cai ).Estou com documentos do trabalho em atraso e trabalhos escolares, e não tem previsão de estabilizar...",2018,2018-10-01,2018-10-26,A,Redes,SMS,Web,Negativo,89,102,1661,23096
WEB_100_sg_B7832DD12CD50BBEBCA339EBD349F047,"Fui informada que havia sido selecionada para um plano pós-pago da Tim numa promoção de 39,90 reais. O primeiro mês seria gratuito. Logo no segundo mês efetuei o pagamento, no terceiro também. Decidi voltar a utilizar o pré-pago e no dia 15/11/18 fiz a migração. Ainda assim, recebi a fatura do mês de novembro. Paguei no dia 23/11. Tenho o protocolo das ligações e, também, os comprovantes de pagamento. Hoje, dia 29/12, recebo uma ligação sobre uma fatura em aberto no valor de 45,00 reais (enfatizo também que a atendente, num determinado momento, demonstrou total despreparo e agiu num nível de ignorância absurdo). Gostaria que este problema fosse resolvido o quando antes. Não pagarei por um serviço que não utilizei e, como possuo todos os protocolos (inclusive, no último, perguntando se seria a última fatura paga, a do mês de novembro, e sendo respondida que SIM). Caso não resolvida, irei à justiça.",2018,2018-12-01,2018-12-28,A,Contas e Tarifas,Fatura,Web,Negativo,88,163,1827,29667
TWITTER_2_1078815527269732353,Medo da tim ter cancelado meu chip só pq eu não coloquei crédito faz um tempo e não paguei o crédito especial KKKKKKKKKKKKKKKKKKKK,2018,2018-12-01,2018-12-29,A,Contas e Tarifas,Chip,Twitter,Negativo,91,181,1963,14494
TWITTER_2_1100893341674360833,Site da TIM é hackeado e funcionários e clientes podem ser possíveis vítimas canaltech.com.br/hacker/site-da…,2019,2019-02-01,2019-02-27,A,Marca,RH,Twitter,Negativo,83,218,1530,26704
INSTAGRAM_37_18044059942155307,"Olá, @montalvaolaura. Faz assim, vai lá em nosso perfil TIM BRASIL no Facebook e clique em ""Enviar mensagem"". Você precisa contar pra gente o que está acontecendo e nos informar seu nome completo, CPF e o número TIM com o DDD. 
Ah, estamos no Twitter no @TIM_AJUDA.
Te aguardamos!",2019,2019-06-01,2019-06-25,A,,,Instagram,Neutro,78,275,1149,29494
FACEBOOK_38_m_mid.$cAADNZLBQRHloCTgB41h1_K2tFtaJ,Não resolveram o meu problema. São 3g de Internet sem usar e a Tim continua descontando pacote diário. Eu não quero pacote diário.,2018,2018-02-01,2018-02-27,A,,,Facebook,Positivo,98,142,1230,12892
FACEBOOK_14_2320993244651538_2322319514518911,Tim operadora kkkk infelizmente não recomendo p ninguém até hoje sinto dor de cabeça fiz a portabilidade para a tim meu plano tem a cobertura 4 g é já fiz várias reclamações ninguém me dá retorno meu aparelho é lançamentos da Samsung Galaxy a 10 é nada de me darem a cobertura 4 g estou no 3 g é não presta,2019,2019-06-01,2019-06-27,A,Marca,Institucional,Facebook,Negativo,94,276,1131,24679
TWITTER_7_966829355472179202,@RafaBelattini @TIMBrasil Você sabia que pode aciona-los na justiça por disturbio né? :p,2018,2018-02-01,2018-02-23,A,,,Twitter,Positivo,62,255,1864,14157
WEB_115_85ec619d74ddaadd03a9a43bd34a4949,"R$ 8.799, com 256GB R$ 9.999, com 512GB A Apple apresentou seus novos iPhones em setembro deste ano. Todos os três aparelhos são alimentados com o novo e potente chip A12 Bionic , que em quase todas as comparações representa uma grande melhoria em relação ao chip A11 do iPhone X (que foi impressionante no lançamento). Quanto ao modelo mais caro, o iPhone XS Max, trata-se de um iPhone X ampliado, com o mesmo design e estilo. Com display de 6,5 polegadas, é o maior já visto em um smartphone da Apple. Os novos iPhones trazem também um novo sistema de câmeras, melhorias na abertura da lente telefoto e uma câmera frontal mais rápida. Mas uma vez que conhecemos os valores em reais dos novos iPhones, vale a comparação de quanto eles custam no mercado norte-americano. O iPhone XS tem preços a partir de 1 mil dólares nos EUA (versão desbloqueada de 64GB), enquanto que o XS Max começa em 1.100 dólares (versão desbloqueada de 64GB). Já o iPhone XR começa em US$ 750. Entretanto, caso você pense em importar os novos aparelhos nos EUA, fique atento. Os iPhone XS e XS Max, vendidos por lá, podem ser incompatíveis com parte da rede 4G do Brasil oferecidas pela Vivo, Tim e Claro. A incompatibilidade diz respeito ao 4G de 700 MHz, que deve atrapalhar o funcionamento dos dois aparelhos importados para algumas regiões do País. Compartilhe isso:",2018,2018-10-01,2018-10-30,A,Contas e Tarifas,Chip,Web,Positivo,60,112,1115,12606
FACEBOOK_38_m_Nhlf4OLIx2y5sf4lGwS7QUMznQhQkavYXRkXuvgQkFhdtiLFhw_QPT4cxtYf1Y2m7abf8oygvOntjF1406fjuQ,"Coloquei 20 reais de recarga hoje às 15h e meus créditos foram comidos.
Descobri mais tarde, que é por conta de uma oferta Tim pré top, e que com ela eu teria direito a 2gb de internet por 2 semanas. Seria ótimo, se pelo menos eu conseguisse usar a internet!
Nem o whatsapp eu consigo usar. 
Fica tudo pendente, como se eu nem tivesse colocado créditos.
Impressionante como a tim é super ligeira em fazer a cobrança (a recarga já está na minha fatura do cartão) mas prestar o serviço que é bom, nada! Palhaçada!
Preciso viajar amanhã e vou ficar na mão, sem créditos, por causa de vcs.",2019,2019-08-01,2019-08-26,A,Redes,Aplicativo,Facebook,Positivo,83,139,1932,19644
WEB_100_90f5b9da10916c0b50eb5c11d00f0a90,"srfelipe disse: ↑ Hoje mais uma vez sem internet desde ás 4:00.
Tento ligar pro 10341 opção 3 e dá isso: ""Não foi possível completar o seu atendimento.""
O que deve estar acontecendo com a TIM? Antes das quedas começarem eles tentaram empurrar fibra e eu não quis, cheguei a desligar na cara de um funcionário devido a tamanha insistência. Clique para expandir... INCOMPETÊNCIA mesmo companheiro
A TIM não tem nenhuma condição de expandir.
--- Double Post Merged, 31/08/2018 às 09:59 --- Estou desde de ontem sem internet! Liguei e me disseram que é algum problema no meu equipamento, pois estou com falta de sincronismo. Andei pela rua agora de manhã num raio até 500m e as CTOs estão todas intactas, nenhum cabo arrebentado, nenhuma CTO roubada ou danificada, nada. Disseram que iam mandar um técnico aqui em até 24h rs.
Faço um mês hoje como cliente da Tim Live e essa é minha segunda queda de sinal. Complicado",2018,2018-08-01,2018-08-31,A,Redes,Sinal,Web,Negativo,90,163,1699,28120
FACEBOOK_14_900859706953778_916254075414341,"🔥Natty Promotora da Tiim🔥
⚠Promoção!!⚠
🔖5,5GB pode chegar7,5GB
✨(WhatsApp Facebook Twitter Instagram Messenger )3 meses de Graça e ligação a vontade pra qualquer operadora e  qualquer DDD,SMS ilimitado por 49.99 com valor fixo,com portabilidade ou aderir um novo número tudo incluído,
Também tenho Tim Black.
📍whtsapp; 031986874307📍",2019,2019-08-01,2019-08-24,A,Produtos e Serviços,Migração,Facebook,Neutro,63,239,1620,16004
FACEBOOK_14_2406847552691024_416152745787091,"Em Novembro de 2018, a TIM LIve me ofereceu um upgrade de plano de 50 megas para 60 megas. E sempre recebia a minha
fatura por email para pagar, como fazia todo mes, pegava a fatura, e pagava pelo celular. Só que em dezembro começei a 
receber mensagens de que a minha fatura não estava paga. E na correria do final do ano, pensei que não tinha pago, e paguei novamente.
E as mensagens continuaram, agora atraves de SMS, e cartas pelo correio. 
E como ainda estava recebendo mensagens, entrei no SIte da Live Tim, vi que ainda estava habiltados dois planos, um de 50 e um de 60 megas.
  Entre em contato pelo o telefone 103 41, e fico sabendo que não foi dada baixa no plano de 50, e foi aberto uma nova instalacao de 60 megas.E em uma
dessas varias ligacoes, eles diziam para nao pagar a fatura de 60 megas, pois como paguei em duplicado a fatura de 50. Só que continuei a receber mensagens, ligacoes,
de que haviam faturas em abertas. Ou seja, tudo começou a virar uma confusão. E ai recebei outra carta dizendo que a minha internet seria bloqueada se eu
não pagar a fatura (inclusive nessa propria carta vem um codigo de barra para pagamento). 
   E depois de várias ligacoes, um atendente me diz para ligar no dia 07 de fevereiro para EU cancelar o plano de 50 (sendo que seria obrigacao da
empresa ter migrado o plano de 50 para 60). E aí, achando que estava tudo bem, Sexta feira 22/fevereiro, a minha internet nao estava funcionando. Liguei
10341, e aí o Atendente diz: Sr Saulo, é a respeito de qual Plano, o de 50 ou 60? Isso é ser tratado como Palhaço. E ai o Atendente diz: Vou transferir para o serviço
de combrança. E ai eu falo: Mas já fiz isso no dia 7, já cancelei o plano!!!!! E a atendente do setor de cobrança diz: A culpa é do setor de vendas, que em vez de fazer
uma migracao, fez uma nova instalacao. E falo para ela: Eu que tenho fazer isso? E nessa sexta feira, para voltar a ter sinal, paguei a fatura que estava em aberto
(mas era uma fatura que algum atendente diz para não pagar).
    E aí durante essa semana, a Internet voltou, mas com reduçao de velocidade. E aí, eu ligo no 103 41, e que o atendente diz: sr Saulo, aqui consta dois Planos Ativos,
é o de 50 ou de 60 megas? A sua internet esta com velocidade reduzida por falta de pagamento!!!

     OU SEJA, LIVE TIM È UM LIXO! NÂO ACEITEM UPGRADES DE PLANOS, POIS VOÇE VAI SE FUDER. NAO ADIANTA ANOTAR NUMERO DE PROTOCOLO, QUE NAO SERVE PARA NADA.

Agora sei que vou entrar em outra batalha para cancelar essa merda!",2019,2019-02-01,2019-02-26,A,Contas e Tarifas,Sinal,Facebook,Negativo,99,235,1948,29404
FACEBOOK_38_m_iiOJJ4BCIdydUUMFdVkt-us8r7ipq7QGFX7Plr3aySeNwCewUvC8lXRZUi2hrz-VTR7BGs91i5YJ5e6N9KpgTg,"Estou com um problema muito sério com a tim. Fizeram um plano controle no meu cpf, fraude. Fui a uma loja mas ate agira não recebi retorno. Meu protocolo é 2018907890843. Por telefone desligam na minha cara, será que alguém pode me ajudar?",2018,2018-08-01,2018-08-27,A,Segurança,Fraude,Facebook,Negativo,77,166,1018,26318
TWITTER_8_989074852379353089,"A @TIMBrasil está de brincadeira...um monte de amigos não viraram Beta Lab por erro na contagem dos pontos na última rodada. E não faz nada, nem responde!! Tá de parabéns!!!!",2018,2018-04-01,2018-04-25,A,,,Twitter,Neutro,99,106,1927,28015
TWITTER_4_969021643052994561,"@TIMBrasil  olá por favor vamos fazer um reparo no sinal neste endereço 27279-095, quando chove o sinal cai, a claro está com o 4.5G  bombando na cidade e vocês estão com ótimo plano, so falta o sinal 👍. Obrigado",2018,2018-03-01,2018-03-01,A,Produtos e Serviços,Plano,Twitter,Negativo,97,100,1201,19027
FACEBOOK_38_m_FPJspcbzjagPAVm7DsN0cY9CIavw8Pt9PbORm4qJTqf9jp5ABNl197YqnxFB2qdmW8crVDpOiNhM_uoPLmKocA,Depois que eu pagar eu vou cansela o plano da tim,2018,2018-12-01,2018-12-30,A,Produtos e Serviços,Plano,Facebook,Neutro,84,207,1353,21804
YOUTUBE_44_UgyAebfTCtNgfLnC5bJ4AaABAg,Don e Pricila da Tim não trava amigo,2018,2018-08-01,2018-08-28,A,Produtos e Serviços,Marca,Youtube,Negativo,88,213,1587,13278
TWITTER_8_1076992730524512256,eu fui editar um icon do tae e a intenção era roxo mas ele ficou igual aqueles carinha da tim pic.twitter.com/y2bD1GBH7J,2018,2018-12-01,2018-12-24,A,Marca,Marca,Twitter,Neutro,69,267,1296,26102
